term,count
pressure,1
intensity,1
power,1
arc,2
ratio,1
graph,1
analysis,2
source,1
f star,1
s star,1
o star,1
of star,1
ion,11
methane,1
ammonia,3
volatile,2
ethane,1
tin,4
