term,count
pressure,1
power,2
arc,1
graph,1
coupling,2
analysis,1
ring,1
spectroscopy,1
source,1
f star,2
of star,2
ion,11
methane,2
nitrogen,1
carbon,1
ethane,2
caesium,1
boron,3
tin,2
copper,1
palladium,1
