term1,term2,count
palladium,amination,0
palladium,amide,2
palladium,arylation,3
palladium,amine,0
amination,palladium,0
amination,amide,1
amination,arylation,1
amination,amine,1
amide,palladium,2
amide,amination,1
amide,arylation,2
amide,amine,1
arylation,palladium,3
arylation,amination,1
arylation,amide,2
arylation,amine,1
amine,palladium,0
amine,amination,1
amine,amide,1
amine,arylation,1
